AK BRLK  59.7511 -150.9063 409.0
AK BRSE  59.741699 -150.741394 541.0
AK CHI  55.8218 -155.6225 203.0
AK CHN  54.831001 -159.589493 71.0
AK CNP  59.5251 -151.2373 564.0
AK FALS  54.8564 -163.417603 60.6
AK HOM  59.6572 -151.6515 221.0
AK O18K  59.8542 -155.208 544.0
AK P16K  59.0314 -157.9906 85.9
AK P17K  59.1953 -156.4394 91.0
AK P23K  59.9979 -147.4031 287.0
AK Q19K  58.9287 -153.6446 631.0
AK R16K  57.5673 -157.5742 38.0
AK R18K  57.5665 -154.4524 39.0
AK SII  56.5593 -154.1842 492.0
AT CHGN  56.301399 -158.414154 17.0
AT OHAK  57.2225 -153.287506 77.5
AT SDPT  55.3493 -160.476593 74.0
AV ACH  58.21 -155.3281 960.0
AV ANCK  58.1981 -155.4961 869.0
AV AU22  59.3702 -153.3573 105.0
AV AUCH  59.3626 -153.4447 916.0
AV AUJA  59.3395 -153.4227 376.0
AV AUJK  59.3493 -153.4106 377.0
AV AUL  59.3816 -153.4379 360.0
AV AULG  59.3773 -153.5193 18.0
AV AUNO  59.4041 -153.4513 27.0
AV AUQ  59.3549 -153.4143 647.0
AV AUSB  59.333 -153.4284 230.0
AV AUSS  59.3589 -153.4309 1235.0
AV AUW  59.3694 -153.473 276.0
AV AUWS  59.35851 -153.46115 465.0
AV CAHL  58.0518 -155.3036 807.0
AV DOL  55.1488 -161.8638 439.0
AV DT1  55.1062 -162.2801 198.0
AV DTN  55.1448 -162.259 396.0
AV ILS  59.957 -153.0703 1125.0
AV ILSW  59.9832 -153.1425 1318.0
AV ISLZ  54.7249 -163.7129 634.0
AV KABU  58.2702 -155.2843 1065.0
AV KAHG  58.4933 -154.5484 923.0
AV KAKN  58.2963 -155.0632 1049.0
AV KARR  58.4971 -154.7054 610.0
AV KAWH  58.383 -154.8013 777.0
AV KJL  58.0533 -155.5753 792.0
AV MGLS  58.1336 -155.1629 472.0
AV P18K  59.3922 -155.2292 680.0
AV P19K  59.6524 -153.2319 629.0
AV PLBL  57.6991 -156.821 461.0
AV PLK1  57.8012 -156.6093 78.0
AV PLK2  57.7634 -156.3264 401.0
AV PLK3  57.688 -156.2695 494.0
AV PLK5  57.997 -156.88 49.0
AV PN7A  55.4329 -161.9973 838.0
AV PS1A  55.4201 -161.7437 283.0
AV PS4A  55.346 -161.8567 322.0
AV Q17K  58.2637 -155.8865 1165.0
AV Q18K  58.6484 -155.0086 1250.0
AV Q20K  58.6097 -152.3942 180.0
AV R17L  57.6313 -156.3599 524.0
AV S12K  55.703 -162.061 411.0
AV S14K  56.2848 -159.5532 1059.0
AV SSBA  54.7718 -164.1265 766.0
AV SSLN  54.8109 -163.9979 637.0
AV SSLS  54.7111 -164.0008 817.0
AV WEBT  54.5902 -164.755 467.0
AV WECS  54.53 -164.7796 639.0
AV WESN  54.5761 -164.5804 549.0
GM AD07  59.779942 -151.836594 40.0
II KDAK  57.7828 -152.5835 152.0
TA N14K  59.9237 -161.6852 21.0
TA O14K  59.2533 -161.2638 129.0
TA O15K  59.1767 -159.8246 306.0
TA O16K  59.5938 -158.0932 198.0
TA O17K  59.7733 -157.0946 156.0
TA O18K  59.8542 -155.208 544.0
TA P16K  59.0314 -157.9906 85.9
TA P17K  59.1953 -156.4394 91.0
TA P18K  59.3922 -155.2292 680.0
TA P19K  59.6524 -153.2319 629.0
TA P23K  59.9979 -147.4031 287.0
TA Q16K  58.6774 -156.6556 22.0
TA Q17K  58.2637 -155.8865 1165.0
TA Q18K  58.6484 -155.0086 1250.0
TA Q19K  58.9287 -153.6446 631.0
TA Q20K  58.6097 -152.3942 180.0
TA R16K  57.5673 -157.5742 38.0
TA R17K  57.639702 -156.387207 273.0
